seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,fertilizer_collected,unsold_units,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
3,1,A_diversified,B_cow_sheep,40191.0,64198.0,0,DONE,719,16.183,4025,0.9443,0.5719,532,122,55,1,4,17,3.1622,0
3,0,B_cow_sheep,C_goose_wheat,43428.0,31092.0,1,DONE,719,20.603,4853,0.9472,0.578,640,155,10,2,1,3,7.7018,0
3,1,C_goose_wheat,B_cow_sheep,31092.0,43428.0,0,DONE,719,20.603,4853,0.9289,0.5724,741,109,4,2,0,0,5.3331,0
3,0,A_diversified,B_cow_sheep,40191.0,64198.0,0,DONE,719,15.437,4025,0.9443,0.5719,532,122,55,1,4,17,4.8609,0
3,1,B_cow_sheep,A_diversified,64198.0,40191.0,1,DONE,719,15.437,4853,0.9472,0.578,640,155,10,2,1,3,1.9798,0
3,0,C_goose_wheat,B_cow_sheep,31092.0,43428.0,0,DONE,719,20.292,4853,0.9289,0.5724,741,109,4,2,0,0,10.6266,0
3,1,B_cow_sheep,C_goose_wheat,43428.0,31092.0,1,DONE,719,20.292,4853,0.9472,0.578,640,155,10,2,1,3,4.4343,0
4,0,B_cow_sheep,B_cow_sheep,44995.0,44965.0,1,DONE,719,19.667,4853,0.9472,0.578,640,155,10,2,1,3,7.0526,0
4,1,B_cow_sheep,B_cow_sheep,44965.0,44995.0,0,DONE,719,19.667,4853,0.947,0.5782,640,155,10,2,1,3,5.4111,0
4,0,B_cow_sheep,A_diversified,60087.0,37947.0,1,DONE,719,16.919,4853,0.9472,0.578,640,155,10,2,1,3,7.4046,0
4,1,A_diversified,B_cow_sheep,37947.0,60087.0,0,DONE,719,16.919,4025,0.9491,0.5749,532,123,55,1,4,17,3.9733,0
4,0,B_cow_sheep,C_goose_wheat,58148.0,27797.0,1,DONE,719,19.588,4853,0.9472,0.578,640,155,10,2,1,3,8.3721,0
4,1,C_goose_wheat,B_cow_sheep,27797.0,58148.0,0,DONE,719,19.588,4853,0.9238,0.564,745,113,12,2,0,0,5.8174,0
4,0,A_diversified,B_cow_sheep,37947.0,60087.0,0,DONE,719,19.72,4025,0.9491,0.5749,532,123,55,1,4,17,6.5156,0
4,1,B_cow_sheep,A_diversified,60087.0,37947.0,1,DONE,719,19.72,4853,0.9472,0.578,640,155,10,2,1,3,5.267,0
4,0,C_goose_wheat,B_cow_sheep,27334.0,58124.0,0,DONE,719,19.962,4853,0.9283,0.5702,739,112,22,3,0,0,4.0267,0
4,1,B_cow_sheep,C_goose_wheat,58124.0,27334.0,1,DONE,719,19.962,4853,0.9472,0.5778,640,155,10,2,1,3,6.2991,0
5,0,B_cow_sheep,B_cow_sheep,35970.0,35970.0,0,DONE,719,18.449,4853,0.9472,0.578,640,155,10,2,1,3,8.7882,0
5,1,B_cow_sheep,B_cow_sheep,35970.0,35970.0,0,DONE,719,18.449,4853,0.9472,0.578,640,155,10,2,1,3,5.498,0
5,0,B_cow_sheep,A_diversified,44819.0,27220.0,1,DONE,719,16.215,4853,0.9472,0.578,640,155,10,2,1,3,3.5603,0
5,1,A_diversified,B_cow_sheep,27220.0,44819.0,0,DONE,719,16.215,4025,0.9545,0.5796,527,125,10,2,4,9,2.3228,0
5,0,B_cow_sheep,C_goose_wheat,57169.0,28869.0,1,DONE,719,21.665,4853,0.9472,0.578,640,155,10,2,1,3,4.8639,0
5,1,C_goose_wheat,B_cow_sheep,28869.0,57169.0,0,DONE,719,21.665,4853,0.9289,0.5724,741,109,4,2,0,0,4.9987,0
5,0,A_diversified,B_cow_sheep,27220.0,44819.0,0,DONE,719,19.885,4025,0.9545,0.5796,527,125,10,2,4,9,9.502,0
5,1,B_cow_sheep,A_diversified,44819.0,27220.0,1,DONE,719,19.885,4853,0.9472,0.578,640,155,10,2,1,3,5.1001,0
5,0,C_goose_wheat,B_cow_sheep,28869.0,57169.0,0,DONE,719,20.324,4853,0.9289,0.5724,741,109,4,2,0,0,6.255,0
5,1,B_cow_sheep,C_goose_wheat,57169.0,28869.0,1,DONE,719,20.324,4853,0.9472,0.578,640,155,10,2,1,3,4.8031,0
6,0,B_cow_sheep,B_cow_sheep,41234.0,41234.0,0,DONE,719,18.623,4853,0.9472,0.578,640,155,10,2,1,3,8.1319,0
6,1,B_cow_sheep,B_cow_sheep,41234.0,41234.0,0,DONE,719,18.623,4853,0.9472,0.578,640,155,10,2,1,3,6.8602,0
6,0,B_cow_sheep,A_diversified,52950.0,33451.0,1,DONE,719,17.382,4853,0.9472,0.578,640,155,10,2,1,3,3.9219,0
